날짜,이름
0101,SnowDrop
0102,NarcissusJonquilla
0103,SpringCrocus
0104,Hyacinth
0105,Hepatica
0106,Violet
0107,Tulip
0108,Violet
0109,Violet
0110,BoxTree
0111,ArborVitae
0112,SweetAlyssum
0113,Narcissus
0114,Cyclamen
0115,Thorn
0116,Hyacinth
0117,Rumex
0118,IndianMallow
0119,Pine
0120,ButterCup
0121,Ivy
0122,Moss
0123,Bulrush
0124,SaffronCrocus
0125,Cerastium
0126,HumblePlant
0127,Sorbus
0128,BlackPoplar
0129,Moss
0130,MashMarigold
0131,SpringCrocus
0201,Primrose
0202,Chaendmeles
0203,Cardamine
0204,Primrose
0205,Fern
0206,HorseLeek
0207,Forgetmenot
0208,Saxifrage
0209,Myrtle
0210,WinterDaphne
0211,Balm
0212,Justiciaprocumbens
0213,CanaryGrass
0214,Chamomile
0215,Cedar
0216,VictorsLaurel
0217,WildFlower
0218,ButterCup
0219,Oak
0220,Kalmia
0221,CaliforniaBluebell
0222,RoseofSharon
0223,Prunus
0224,Periwinkle
0225,MuskRose
0226,Adonis
0227,StarOfArabia
0228,Straw
0229,Armeria
0301,Narcissus
0302,ButterCup
0303,Astraglus
0304,Raspberry
0305,CornFlower
0306,Daisy
0307,Cardamine
0308,Castanea
0309,Larch
0310,Elm
0311,lxeris
0312,WeepingWillow
0313,DayLily
0314,Almond
0315,PoisonHemlock
0316,Mint
0317,Beans
0318,Asparagus
0319,CapeJasmine
0320,Tulipa
0321,HoyaCarnosa
0322,Mallow
0323,Gladiolus
0324,CalifoniaPoppy
0325,ClimbingPlant
0326,Primrose
0327,Calceolaria
0328,RobiniaHispida
0329,Burdock
0330,ScotchBroom
0331,NigellaDamascena
0401,Almond
0402,WindFlower
0403,Daffodil
0404,WindFlower
0405,FigTree
0406,Adonis
0407,Adiantum
0408,Broom
0409,CherryBlossom
0410,Periwinkle
0411,BlemoniumCoeruleum
0412,Peach
0413,GoldenWave
0414,MorningGlory
0415,FenOrchid
0416,Tulipa
0417,GermanIris
0418,Astragalus
0419,Larkspur
0420,Pear
0421,WeepingWillow
0422,ChinaAster
0423,BalloomFlower
0424,Geranium
0425,FritillariaThunbergii
0426,CardamineIyrata
0427,WaterLily
0428,Primrose
0429,Camellia
0430,GoldenChain
0501,Cowslip
0502,ButterCup
0503,Dandelion
0504,Strawberry
0505,Maylily
0506,Stock
0507,Strawberry
0508,WaterLily
0509,Prunus
0510,FlagIris
0511,Apple
0512,Lilac
0513,Hawthorn
0514,Columbine
0515,Forgetmenot
0516,Hieracium
0517,Tulipa
0518,Oxlip
0519,Aristata
